,id_left,id_right
0,4798,4792
1,3367,196
2,3367,274
3,2758,1478
4,3098,1866
5,4798,4803
6,4803,4807
7,4803,4798
8,4807,4809
9,4807,4803
10,4809,4811
11,4809,4807
12,4811,4812
13,4811,4809
14,4812,4811
15,4817,4819
16,4819,4827
17,4819,4817
18,4827,5215
19,4827,4819
20,5215,5220
21,5215,4827
22,5220,5215
23,5223,5226
24,5226,5239
25,5226,5223
26,5239,5267
27,5239,5226
28,5267,5268
29,5267,5239
30,5268,5267
31,5270,5275
32,5275,5270
33,5278,5284
34,5284,5278
35,5285,5297
36,5297,5285
37,5333,5342
38,5342,5371
39,5342,5333
40,5371,5378
41,5371,5342
42,5378,5371
43,5385,5394
44,5394,5403
45,5394,5385
46,5403,5406
47,5403,5394
48,5406,5416
49,5406,5403
50,5416,5425
51,5416,5406
52,5425,5416
53,5466,5475
54,5475,5497
55,5475,5466
56,5497,5507
57,5497,5475
58,5507,5520
59,5507,5497
60,5520,5522
61,5520,5507
62,5522,5525
63,5522,5520
64,5525,5527
65,5525,5522
66,5527,5525
67,5530,5534
68,5534,5576
69,5534,5530
70,5549,5576
71,5576,5585
72,5576,5549
73,5576,5534
74,5585,5589
75,5585,5576
76,5589,5585
77,5593,5598
78,5593,5600
79,5598,5603
80,5598,5593
81,5600,5593
82,5603,5598
83,5606,5608
84,5608,5610
85,5608,5606
86,5610,5611
87,5610,5608
88,5611,5612
89,5611,5610
90,5612,5616
91,5612,5611
92,5616,5619
93,5616,5612
94,5617,5618
95,5618,5617
96,5619,5616
97,5626,5629
98,5629,5632
99,5629,5626
100,5632,5629
101,5642,5644
102,5644,5642
103,5649,5651
104,5651,5652
105,5651,5649
106,5652,5655
107,5652,5651
108,5655,5652
109,5658,5659
110,5659,5661
111,5659,5658
112,5661,5665
113,5661,5659
114,5665,5672
115,5665,5661
116,5672,5675
117,5672,5665
118,5675,5678
119,5675,5672
120,5678,5680
121,5678,5675
122,5680,5686
123,5680,5678
124,5684,5685
125,5684,5686
126,5685,5684
127,5686,5684
128,5686,5680
129,5690,5692
130,5691,5693
131,5692,5690
132,5693,5691
133,19,20
134,20,1461
135,20,19
136,92,1461
137,106,1461
138,141,1461
139,148,1461
140,149,1461
141,151,1461
142,153,1461
143,215,1461
144,264,1461
145,268,1461
146,268,271
147,271,1461
148,271,268
149,278,1461
150,281,1461
151,293,1461
152,299,1461
153,305,308
154,308,312
155,308,305
156,312,308
157,319,1461
158,356,366
159,359,1461
160,366,356
161,404,1461
162,599,1461
163,634,1461
164,706,1461
165,777,1461
166,780,788
167,788,789
168,788,780
169,789,788
170,789,1461
171,817,1461
172,864,1461
173,967,1461
174,1162,1461
175,1181,1461
176,1185,1461
177,1198,1461
178,1237,1253
179,1243,1253
180,1253,1243
181,1253,1237
182,1256,1461
183,1287,1461
184,1288,1461
185,1335,1461
186,1375,1461
187,1382,1461
188,1434,1461
189,1450,1461
190,1453,1461
191,1461,1453
192,1461,1450
193,1461,1434
194,1461,1382
195,1461,1375
196,1461,1335
197,1461,1287
198,1461,1288
199,1461,1256
200,1461,1198
201,1461,1181
202,1461,1162
203,1461,967
204,1461,864
205,1461,817
206,1461,789
207,1461,777
208,1461,706
209,1461,634
210,1461,599
211,1461,404
212,1461,359
213,1461,319
214,1461,299
215,1461,293
216,1461,281
217,1461,278
218,1461,271
219,1461,268
220,1461,264
221,1461,215
222,1461,153
223,1461,151
224,1461,148
225,1461,149
226,1461,141
227,1461,106
228,1461,20
229,1461,1185
230,1461,92
231,1461,2758
232,1527,1639
233,1548,1639
234,1620,1639
235,1639,1620
236,1639,1548
237,1639,1527
238,2199,2212
239,2212,2199
240,2328,2471
241,2392,2471
242,2394,2471
243,2400,2471
244,2405,2471
245,2444,2471
246,2450,2471
247,2471,2450
248,2471,2444
249,2471,2405
250,2471,2400
251,2471,2394
252,2471,2392
253,2471,2328
254,2609,2638
255,2638,2609
256,287,290
257,290,287
258,328,2758
259,348,2758
260,373,2758
261,374,2758
262,381,2758
263,382,2758
264,387,2758
265,389,2758
266,398,2758
267,399,402
268,402,399
269,408,2758
270,433,2758
271,438,2758
272,439,2758
273,440,2758
274,528,2758
275,533,2758
276,604,2758
277,617,2758
278,622,623
279,623,622
280,633,2758
281,690,2758
282,698,2758
283,849,2758
284,853,2758
285,937,2758
286,942,2758
287,962,2758
288,985,2758
289,996,2758
290,1036,2758
291,1041,2758
292,1043,2758
293,1044,2758
294,1058,2758
295,1061,2758
296,1066,2758
297,1068,2758
298,1071,2758
299,1073,2758
300,1073,1075
301,1075,2758
302,1075,1073
303,1076,2758
304,1091,2758
305,1104,2758
306,1140,2758
307,1162,2758
308,1177,2758
309,1178,1256
310,1186,2758
311,1189,2758
312,1193,1256
